id,company,logo,description,site,address,size,phone,email
907,NGÂN HÀNG TMCP QUÂN ĐỘI CHI NHÁNH PHÚ NHUẬN,https://www.topcv.vn/v4/image/topcv-logo-company-default.png,"Ngân hàng Thương mại Cổ phần Quân đội, gọi tắt là Ngân hàng Quân đội, viết tắt là MB Bank, là một ngân hàng thương mại cổ phần của Việt Nam, một doanh nghiệp trực thuộc Bộ Quốc phòng",https://www.topcv.vn/cong-ty/ngan-hang-tmcp-quan-doi-chi-nhanh-phu-nhuan/145298.html,"Một phần tầng trệt tòa nhà Prince Residence, Số 19-21 đường Nguyễn Văn Trỗi, Phường 11, Quận Phú Nhuận, Thành phố Hồ Chí Minh, Việt Nam",10000+,098 6861856,nhanhphunhuan@gmail.com
908,Công ty TNHH Homestay 3M,https://www.topcv.vn/v4/image/topcv-logo-company-default.png,Homestay 3 Miền  Ngôi nhà có đầy đủ tiện ích với một khoản tiền nhỏ,https://www.topcv.vn/cong-ty/cong-ty-tnhh-homestay-3m/132043.html,"35/1 Đường số 19, Khu phố 2, Phường An Khánh , Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam",25-99,098 7514298,tnhhhomestay3m@gmail.com
909,Công ty TNHH thương mại và dịch vụ Big Man Group,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-tnhh-thuong-mai-va-dich-vu-big-man-group-6066d60014fa4.jpg,"Công ty TNHH thương mại và dịch vụ Big Man Group Chuyên Đào Tạo Các khóa học về Lĩnh vực Marketing  Truyền thông  Quảng Cáo, Công ty chúng tôi có 2 văn phòng làm việc, 1 Văn phòng Bắc Giang, Lô 26 CLK 12, đường Huỳnh Thúc Kháng, phường Dĩnh Kế, thành phố Bắc Giang, Bắc Giang, 2 Văn phòng Hồ Chí Minh, 83, đường số 3, phường An Khánh, thành phố Thủ Đức, Thành phố Hồ Chí Minh",https://www.topcv.vn/cong-ty/cong-ty-tnhh-thuong-mai-va-dich-vu-big-man-group/60165.html,"2. Văn phòng Hồ Chí Minh: 83, đường số 3, phường An Khánh, thành phố Thủ Đức, Thành phố Hồ Chí Minh",25-99,098 5870496,bigmangroup@gmail.com
910,"Step Up Education Co.,ltd",https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/step-up-education-co-ltd-5fa10e883b688.jpg,"Step Up tin rằng mỗi người đều có những tiềm năng vô hạn để trở nên giỏi giang Vấn đề là họ không áp dụng đúng phương pháp để việc học hiệu quả hơn Vì vậy Step Up mong muốn giúp cho những người gặp khó khăn trong việc học hành nói chung và học Tiếng Anh nói riêng được tiếp cận các phương pháp, kinh nghiệm học tiếng Anh thông minh để trở nên giỏi thực sự, Ngoài kia có rât nhiêu ban tre tuôi đôi muoi làm sai nghê, tu duy an phạn và bi chôn chân vơi mọt công viẹc không đu vui, không đu sông Các bạn gạp hêt khung hoang tuôi này tơi tuôi kia Moi chuyẹn se khác đi rât nhiêu nêu ho có đuơc đinh huơng công viẹc phù hơp vơi ban mẹnh Có đây đu bọ ki nang tiêng Anh, cưng và mêm trong công viẹc, Mình tin răng con nguơi Viẹt Nam không hê thua kém gì vê mạt tiêm nang so vơi nhưng nên kinh tê khác Con rông cháu tiên hoàn toàn có thê trơ thành công dân toàn câu sánh vai cùng các cuơng quôc nam châu, Step Up muôn trơ thành mọt tô chưc góp phân tao nên sư thay đôi đó, và tiêng Anh chi là điêm băt đâu Hi vọng có một ngày khách hàng trải qua hệ sinh thái sản phẩm của Step Up mà thành nhân viên đáng được nhiều công ty săn đón, TẦM NHÌN, Trở thành công ty giải pháp Giáo dục có vị thế vững vàng trên thị trường, với các sản phẩm học thông minh và hiệu quả Step Up sẽ nổi tiếng mạnh về sản phẩm và được khách hàng tin tưởng chứ không phải tiếp thị tốt, GIÁ TRỊ CỐT LÕI, Sự tử tế Tử tế với chính người Step Up với nhau và tử tế với khách hàng Đã làm sản phẩm phải chất lượng và chứng minh được hiệu quả, bất kể là sản phẩm miễn phí hay giá rẻ Làm ra phải thấy đáng để người thân mình dùng, Tư duy số Sản phẩm làm ra không phải là để vừa lòng đội ngũ trong công ty Sản phẩm làm ra với mục tiêu cao nhất là người học thấy dễ học và học tới trang cuối cùng, Sự đổi mới, tư duy mở và học hỏi không ngừng Học từ chính đối thủ và học từ những công ty công nghệ giáo dục tốt trên thế giới, Thực chất Có hai thứ để đầu tư mà mang lại thành quả tài chính tốt nhất trong dài hạn của một công ty đó là nhân viên và khách hàng, Step Up bán gì, Sư thành thao Không chấp nhận việc khách bỏ dở chương trình học, 99 khách hàng học và ứng dụng thành công là mục tiêu mà Step Up theo đuổi, Hoc nhanh và vui vẻ Thay vì chật vật vài năm thì chỉ 36 tháng có thể cơ bản sử dụng được tiếng Anh, Tư hoc Mọt con nguơi chi thưc sư truơng thành trong sư nghiẹp nêu ho tư biêt thu nap kiên thưc mơi cho ban thân mình, Hoc nac Chi hoc nhưng thư cân hoc đê tang ki nang, Chiến lược phát triển, Coi trọng đào tạo và phát triển nhân tài, Step Up tin rằng sản phẩm tuyệt vời chỉ có thể tạo ra bởi những con người tài năng Công ty muốn tăng trưởng nhanh bền vững phải có những nhân sự xuất sắc có tâm, có tài, Sản phẩm đã làm là phải chất lượng, làm ra là bán được, Môi cuôn sách, môi bài giang cua Step Up không phai đuơc làm ra bơi chi mọt đọi giáo viên Mà đó là tông hoà chuyên môn cua nguơi day, sales, marketing, lạp trình viên, đao diên hình anh và âm thanh Khúc nào cung phai cô benchmarking, tự tin đứng cạnh các sản phẩm của thế giới Tưc là làm mọt cách thông minh và xâu chuôi nhiêu loai hiêu biêt khác nhau, Tập trung vào khách hàng, Giáo trình và hầu hết các cuốn sách học tiếng Anh khác trên thị trường được làm ra cho người có năng khiếu, trong 10 người may ra được 1 người học thành công, Step Up thiết kế hành trình cảm xúc đó bằng hình ảnh, màu sắc, chuyển động, âm thanh, bằng các nội dung xu hướng và khác biệt ở mỗi phần với những CTV quốc tế xuất sắc nhất mà chúng mình tìm được, Bán hàng và chăm sóc khách hàng bền vững, Step Up là một trong những công ty giáo dục, có lẽ là duy nhất đầu tư rất nhiều ngân sách vào việc chăm sóc khách hàng, thay vì bỏ tiền đi đánh bóng tên tuổi Step Up sẽ tìm mọi cách để dần đạt được con số 100 khách hàng hài lòng, Môi trường làm việc, Môi trường làm việc lành mạnh Không toxic, không gossip, trong công việc thử thách hết mình nhưng ngoài công việc không bè phái ganh đua hay tấn công gì nhau, Quan điểm làm việc của Step Up là dân chủ, sếp có thể sai nhưng tổ chức phải đúng Sai thì nhận và sửa Nhân viên thoải mái nói lên chính kiến của mình Trên dưới lắng nghe và cởi mở với góc nhìn của nhau, quyết tâm vì mục tiêu chung, Tỷ lệ nghỉ việc tại các bộ phận chuyên môn cao dưới 5, nhưng đối với Step Up đúng người đúng việc sẽ quan trọng hơn Các bạn được thử thách với công việc mới khi đã làm tốt loại chuyên môn cũ và công ty không tiếc tiền cho nhân viên đi học nếu thấy cần thiết Quan điểm của Step Up là nhân viên đi cùng sự phát triển của công ty, giúp nhân viên có cuộc sống cân bằng và phát triển chuyên môn tối đa, Quan điểm của Step Up chúng mình là không phải bạn đi xin việc và công ty cũng không đi xin ứng viên tài năng Step Up tôn trọng thời gian và sự quan tâm của các bạn tới chúng mình Step Up cảm ơn bạn đã quan tâm và rất mong chờ gặp bạn tại Step Up , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ",https://www.topcv.vn/cong-ty/step-up-education-co-ltd/1270.html,"Trụ sở chính: D09, lô A10, KĐT Nam Trung Yên, Cầu Giấy, Hà Nội",100-499,098 6239233,upeducationcoltd@gmail.com
911,Công ty Cổ phần The Old School,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/wCqSMTzi2PFImtHrptcbYE4UdzIjRPcF_1669799832____8755d2228f32d52d5e69b3ab14ffe356.jpg,"The Old School là trung tâm tiếng Anh dành riêng cho người lớn tuổi Với khát khao và sứ mệnh mang tiếng Anh, tri thức phổ cập tới mọi người, từ mọi lứa tuổiThe Old School thành lập cuối năm 2020 và nhanh chóng trở thành mái nhà chung cho các cô chú học tập, sinh hoạt và nâng cao đời sống tinh thần Trong 2 năm hoạt động, The Old School may mắn được đồng hành cùng hơn 2000 côchú trong chặng đường chinh phục ngôn ngữ, luyện cho các côchú kỹ năng giao tiếp khi đi du lịch, định cư nước ngoài, hay cải thiện trí nhớVới SLOGAN   Kết nối tri thức và tâm hồn   Không chỉ là lớp học, The Old School còn là nơi để mọi người giao lưu, kết bạn, chia nhỏ nỗi buồn và cộng hưởng niềm vui Đến với The Old School là có tri thức, là có niềm vui, là có bạn bè",https://www.topcv.vn/cong-ty/cong-ty-co-phan-the-old-school/127700.html,"Số 8 Phan Văn Trường, Dịch Vọng, Cầu Giấy, Hà Nội",25-99,098 5039723,theoldschool@gmail.com
912,Công ty Cổ phần Đầu tư HBR Holdings,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/GZwaxboxdjf7ptUvkTTwHgUjOnctd7fR_1651718286____67ae2b52e1044a9d28984fe232f89cdc.jpg,Công ty chưa thêm phần này,https://www.topcv.vn/cong-ty/cong-ty-co-phan-dau-tu-hbr-holdings/99858.html,"Số 30, 76/2 Duy Tân, Cầu Giấy, Hà Nội",25-99,098 5461326,tuhbrholdings@gmail.com
913,CÔNG TY CỔ PHẦN CHỨNG KHOÁN FPT,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/S943METEnKkuxsaU1y3Hwj3fkJyt6WJT_1666837283____a0aef368da169867d342eb6ce3ba38b5.png,"CÔNG TY CỔ PHẦN CHỨNG KHOÁN FPT tên viết tắt FPTS  thành viên của Tập đoàn FPT  được cấp phép thành lập và hoạt động theo Giấy phép của Ủy ban Chứng khoán Nhà nước cấp ngày 13072007, với các nghiệp vụ kinh doanh Môi giới chứng khoán Tự doanh chứng khoán Tư vấn đầu tư chứng khoán Lưu ký chứng khoán và Bảo lãnh phát hành chứng khoán, FPTS chính thức niêm yết tai Sơ Giao dịch Chứng khoán TP Hồ Chí Minh HOSE vào tháng 012017, mã chứng khoán là FTS, Trải qua 15 năm xây dựng và phát triển, FPTS đã liên tục gặt hái được rất nhiều thành công, đạt được sự tin tưởng của khách hàng, khẳng định vị trí là công ty chứng khoán hàng đầu tại Việt Nam, Ngày 01012017, FPTS chính thức chuyển về trụ sở mới tại số 52 đường Lạc Long Quân, quận Tây Hồ, thanh phô Hà Nội Với 100 vốn đầu tư, tòa nhà 14 tầng khang trang, hiện đại đã thuộc quyền sở hữu của FPTS Liền đó, Chi nhánh Hồ Chí Minh và Chi nhanh Đà Nẵng của FPTS cũng lần lượt chuyển về ngôi nhà mới khang trang, rộng rãi của riêng mình Đây là những dấu mốc quan trọng trên chặng đường 10 năm phát triển đâu tiên của FPTS, khẳng định tầm vóc lớn mạnh và vị thế của Công ty trên thị trường",https://www.topcv.vn/cong-ty/cong-ty-co-phan-chung-khoan-fpt/124279.html,"100 Quang Trung, Thạch Thang, Hải Châu, Đà Nẵng",25-99,098 7176062,chungkhoanfpt@gmail.com
914,CÔNG TY CỔ PHẦN ĐẦU TƯ HBR HOLDINGS,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-co-phan-dau-tu-hbr-holdings-782c5a6620ed3d8367360ee630616230-6451d7ccbfd3c.jpg,"Tập đoàn HBR Holdings, là Hệ sinh thái giáo dục bao gồm Tổ chức giáo dục Quốc tế Langmaster  Hệ thống luyện thi IELTS LangGo Trường doanh nhân HBR  Tiếng Anh trẻ em BingGo Leaders Dự án tiếng Anh Tự học IvyGo,, HBR Holdings vận hành dựa trên các giá trị cốt lõi chính nhằm liên tục nâng chuẩn, tạo ra giá trị cho Đối tác, Khách hàng, Cán bộ nhân viên và cho toàn xã hội, bao gồm,  Tập trung vào khách hàng,  Học hỏi, Sáng tạo  Đổi mới không ngừng,  Hiệu suất  Hiệu quả,  Tính chính trực,  Cam kết  Trách nhiệm,  Kỷ luật là sức mạnh",https://www.topcv.vn/cong-ty/cong-ty-co-phan-dau-tu-hbr-holdings/141191.html,"Số 30, ngách 2, ngõ 76, đường Duy Tân, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",100-499,098 9777174,tuhbrholdings@gmail.com
915,CÔNG TY TNHH TM&XNK SELLO,https://www.topcv.vn/v4/image/topcv-logo-company-default.png,Công ty chưa thêm phần này,https://www.topcv.vn/cong-ty/cong-ty-tnhh-tmxnk-sello/121112.html,"121/13 Tân Cảng, Phường 25, Bình Thạnh, Hồ Chí Mịnh",10-24,098 7521264,tnhhtmxnksello@gmail.com
916,Công ty Cổ Phần Dịch vụ Đào tạo trực tuyến OES,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-co-phan-dich-vu-dao-tao-truc-tuyen-oes-5de5e726db45c.jpg,"Công ty CP Dịch vụ Đào tạo trực tuyến OES Optimal Elearning Solution là một công ty hàng đầu Việt Nam với nền tảng 10 năm kinh nghiệm triển khai các dịch vụ Elearning cho các ngân hàng, tập đoàn lớn, các doanh nghiệp vừa và nhỏ, OES cung cấp các dịch vụ sau,  Xây dựng hệ thống phần mềm Elearning,  Số hóa bài giảng Elearning,  Ngân hàng khóa học kỹ năng cho lãnh đạo và nhân viên, Kinh nghiệm triển khai Elearning với các khách hàng VPBank, MobiFone, VinaPhone, BaoVietBank, Vietnet ICT, Griffin Việt NamOES Việt Nam cần chiêu mộ các bạn CTV sáng tạo và năng động",https://www.topcv.vn/cong-ty/cong-ty-co-phan-dich-vu-dao-tao-truc-tuyen-oes/29348.html,"Tầng 3- Tòa nhà số 29, ngõ 59 phố Láng Hạ, Quận Ba Đình, Hà Nội",25-99,098 9200946,tructuyenoes@gmail.com
917,CÔNG TY TNHH LABLE VIỆT NAM,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/b3eb310e1302daeb9c0a18c6a79dd138-633a70643f05a.jpg,V Hair Vendor is a 10year Vietnamese wholesale hair vendor providing 100 highquality human hair at the most competitive prices,https://www.topcv.vn/cong-ty/cong-ty-tnhh-lable-viet-nam/121486.html,"Số 9 Ngách 102 Ngõ 192 Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam",25-99,098 5894558,lablevietnam@gmail.com
918,Công ty TNHH AEON Việt Nam,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-tnhh-aeon-viet-nam-57982df8ee6b7_rs.jpg,Công ty chưa thêm phần này,https://www.topcv.vn/cong-ty/cong-ty-tnhh-aeon-viet-nam/45.html,"Trụ sở chính: 30 Bờ Bao Tân Thắng, phường Sơn Kỳ, quận Tân Phú, Tp. HCM",10000+,098 7977298,aeonvietnam@gmail.com
919,Công ty cổ phần Công nghệ thông tin Phú Minh,https://www.topcv.vn/v4/image/topcv-logo-company-default.png,Công ty chưa thêm phần này,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-thong-tin-phu-minh/145267.html,"Tầng 5, Tòa nhà 152 Phó Đức Chính, Phường Trúc Bạch, Quận Ba Đình, Thành phố Hà Nội, Việt Nam",25-99,098 4416382,tinphuminh@gmail.com
920,CÔNG TY TNHH MAICO GROUP,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-tnhh-maico-group-5f868959cfeef.jpg,"CÔNG TY TNHH MAICO GROUP  Startup Công nghệSlogan Nền tảng thịnh vượng1 Lĩnh vực hoạt động Dịch vụ bán và cho thuê căn hộ Pháp lý căn hộ Phát triển công nghệ Maicovn2 VĂN HÓA MCG Giá trị cốt lõi SỰ TỬ TẾ Tất cả mọi thứ đều phải xoay quanh giá trị SỰ TỬ TẾ3 Lực lượng nhân sự Độ tuổi từ 17 tuổi  25 tuổi Chiến lược nhân sự MAICO GROUP tập trung tìm kiếm những con người kỷ luật và tập trung, kính nghiệp và hiệu quả để hòa nhập với MCG Song, nếu công ty cảm nhận được sự phù hợp của nhân sự về mặt văn hóa và mặt nghiệp vụ, thì công ty sẽ tạo điều kiện cho nhân sự đó được khai thác sâu hơn các vị trí công việc khác của công ty, đồng thời sâu sát và giúp nhân sự đó định hướng về lộ trình thăng tiến4 Tầm nhìn của MAICO GROUP Tin tưởng vào ước mơ trở thành công ty số 01 Việt Nam và vươn tầm thế giới về lĩnh vực môi giới bán và cho thuê bất động sản Bằng cách thức xây dựng công nghệ ứng dụng riêng đặc thù cho ngành môi giới bất động sản, tăng hiệu suất hoạt động Sales gấp nhiều lần MCG bắt nhịp với ngành bất động sản như một SME nhưng định hướng của MCG sẽ là một startup tạo ra giá trị đột phá bằng công nghệ riêng MCG đang quy tụ đội ngũ anh em IT Sinh viên Parttime để làm ra sản phẩm công nghệ dành cho tối ưu vận hành nghiệp vụ đặc thù MCG sẽ làm một startup về ngành Protech5 Sứ mệnh của MCG Đối với khách hàng Tập thể MCG phấn đấu đưa giá trị Tử tế vào dịch vụ khách hàng, nhằm đưa dịch vụ môi giới trở thành một dịch vụ được mọi khách hàng TÔN TRỌNG và Hài Lòng Tử tế trong việc cân bằng lợi ích giữa bên bán và bên mua, tử tế bằng quy chuẩn dịch vụ đẳng cấp được cải tiến và updates liên tục, tử tế bằng cách minh bạch rõ mọi quy trình, tử tế bằng tốc độ dịch vụ nhanh chóng, tử tế bằng nghiệp vụ tư vấn và hệ thống thông tin chính xác,  Đối với nhân viên MCG tạo ra một môi trường tốt nhất cho mọi nhân sự có thể làm việc được vui vẻ  thoải mái và đạt được kết quả công việc cao nhất MCG chú trọng môi trường nội bộ HẠNH PHÚC Nơi làm việc tràn đầy 8 GIÁ TRỊ VĂN HÓA VẬN HÀNH MCG trở thành một nền tảng thịnh vượng thực sự cho sự nghiệp của nhân sự MCG,  Đối với xã hội MCG tự ý thức và luôn giữ vững định hướng là xây dựng hệ thống công việc hướng về nguồn nhân lực sinh viên parttime MCG chú trọng cao đến hàm lượng giá trị giáo dục trong công việc tại MCG MCG đã  đang và sẽ trở thành một môi trường để giới sinh viên Việt Nam tìm để để thực tập  thực hành  đào luyện các kỹ năng thực tế cho bản thân Đây là một môi trường quan trọng cung cấp những giá trị hoàn toàn khác biệt, mà hiện tại hệ thống trường Đại Học ở Việt Nam chưa làm được",https://www.topcv.vn/cong-ty/cong-ty-tnhh-maico-group/46477.html,"45 Tân Lập, Đông Hòa, Dĩ An, Bình Dương - Chung cư Bcons Suối Tiên",25-99,098 9326327,tnhhmaicogroup@gmail.com
921,CÔNG TY LUẬT TTP BENGOSHI,https://www.topcv.vn/v4/image/topcv-logo-company-default.png,Công ty chưa thêm phần này,https://www.topcv.vn/cong-ty/cong-ty-luat-ttp-bengoshi/92022.html,"Tầng 2, tòa nhà Vitranco Building, 1A-A1 Thái Thịnh - Phường Láng Hạ - Quận Đống đa - Hà Nội.",25-99,098 5355850,luatttpbengoshi@gmail.com
922,CÔNG TY CỔ PHẦN EMPIRE GLOBAL INVESTMENTS,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/iyXUsXQXgS35fiqw7YAOn9JZWGOL3fr0_1652693626____2e5a250edd65cb9ec5cfd7f543d96c27.jpg,"Glo365 Clinic là địa điểm làm đẹp đi đầu trong các công nghệ mới chúng tôi cung cấp tất cả các dịch vụ thẩm mỹ nội khoa công nghệ cao laser, sóng siêu âm và tần số vô tuyến được FDA chấp thuận tại Việt Nam Chúng tôi là phòng khám y tế sử dụng Công nghệ tốt nhất thế giới để điều trị kết quả cao  thời gian nghỉ dưỡng thấp, được thực hiện bởi các bác sĩ được chứng nhận hàng đầu Phương pháp điều trị cao cấp, không ảnh hưởng đến chất lượng Tất cả các phương pháp điều trị đều được FDA chấp thuận và tuân theo các quy trình tiêu chuẩn quốc tế Chúng tôi quan tâm đầu tiên đến sự an toàn của khách hàng với chúng tôi, họ biết chính xác những gì họ đưa vào cơ thể khách hàng  Thẩm mỹ là một hoạt động y tế đòi hỏi mức độ đạo đức cao nhất",https://www.topcv.vn/cong-ty/cong-ty-co-phan-empire-global-investments/101597.html,"31A Lý Tự Trọng, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam",100-499,098 8601384,empireglobalinvestments@gmail.com
923,CÔNG TY TNHH ĐẦU TƯ VÀ THƯƠNG MẠI MINH NAM,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-tnhh-dau-tu-va-thuong-mai-minh-nam-6209bbd3d980c.jpg,"Công ty TNHH đầu tư và thương mại Minh Nam được thành lập ngày 12 tháng 01 năm 2012, nay đã đổi tên thương hiệu là MINACO Tiền thân từ một cửa hàng nhỏ, trải qua những biến đổi thăng trầm của nền kinh tế, cùng với nỗ lực vươn lên không ngừng, đến nay chúng tôi đã khẳng định được vị thế, trở thành một trong những Công ty cung cấp văn phòng phẩm, thiết bị máy văn phòng và vật tư tiêu hao hàng đầu tại Miền Bắc Trong thời gian hoạt động, Công ty liên tục tăng trưởng với tốc độ cao, nguồn tài chính vững mạnh, đảm bảo vững chắc cho đầu tư và phát triển Bên cạnh đó, Công ty đã quy tụ được nhiều nguồn nhân lực chất lượng từ các trường Đại học có uy tín và cam kết có nguyện vọng được làm việc lâu dài tại Công ty, Trong bối cảnh nền kinh tế đang bước vào cuộc cách mạng 40, Xã hội đang vận mình mạnh mẽ để hội nhập và mở rộng giao thương Đây cũng là cơ hội và cũng là thách thức với Minaco Để sẵn sàng cho cuộc cách mạng này, chúng tôi luôn chú trọng phát triển năng lực của mỗi CBNV trong công ty để thích ứng nhanh với những thay đổi Mỗi tôn chỉ hoạt động của chúng tôi đều hướng tới Sự tận tâm phục vụ Khách hàng thông qua các kế hoạch phát triển nguồn nhân lực như,  Tổ chức các chương trình đào tạo nội bộ và cử CBNV đi đào tạo bên ngoài nhằm nâng cao kỹ năng, trình độ của mỗi CBNV để đáp ứng được yêu cầu cao của Xã hội trong lĩnh vực thương mại và dịch vụ,  Tổ chức các cuộc thi, chương trình văn hóa sự kiện nhằm kích thích sự sáng tạo của CBNV, thúc đẩy tinh thần làm việc, thêm sự gắn kết của các thanh viên tạo nên sức mạnh nội bộ trong Doanh nghiệp,  Xây dựng chế độ phúc lợi ưu việt nhất để nâng cao giá trị cuộc sống của CBNV, từ đó các thành viên sẽ ổn định tâm lý, yên tâm công tác và cống hiến cho sự phát triển bền vững của Doanh nghiệp,  Luôn nghiên cứu cải thiện quy trình làm việc, tránh lãng phí thời gian, tăng hiệu suất làm việc,  Xây dựng văn hóa doanh nghiệp dựa trên tinh thần hợp tác, chia sẻ, tin cậy, Trong mỗi hoạt động, chúng tôi luôn định hướng phát triển nhân sự dựa trên, GIÁ TRỊ CỐT LÕI CỦA CBNV MINACO, 1tPhục vụ tận tâm, chu đáo, nhiệt tìnht4tYêu thương, giúp đỡ nhau trong mọi việc, 2tGiữ chữ tín bằng mọi giát5tLuôn lắng nghe và cầu tiến, 3tTrách nhiệm với cam kết của bản thânt6tTinh thần làm việc nhiệt huyết và máu lửa, Đầu tư vào phát triển nhân sự chính là đầu tư để phát triển Doanh nghiệp",https://www.topcv.vn/cong-ty/cong-ty-tnhh-dau-tu-va-thuong-mai-minh-nam/88091.html,"Số 22 phố Hạ Đình, Phường Thanh Xuân Trung, Quận Thanh Xuân, TP. Hà Nội",25-99,098 1941332,maiminhnam@gmail.com
924,CÔNG TY TNHH YAKULT VN,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-tnhh-yakult-vn-618c937e49905.jpg,"Yakult là công ty được thành lập bởi Giáo sư, Bác sĩ người Nhật từ hơn 80 năm trước, hiện có mặt tại 38 quốc gia và vùng lãnh thổ trên toàn thế giới, Công ty mẹ Yakult Honsha Co, Ltd, Năm thành lập 1935, Địa chỉ 119, HigashiShinbashi, 1chome, Minatoku, Tokyo, 1058660 Nhật Bản, , Công ty TNHH Yakult Việt Nam, , Năm thành lập 2006, , Địa chỉ, , Nhà máy Số 5 Đại lộ Tự Do, KCN Vsip I, pBình Hòa, TX Thuận An, Bình Dương, , VP chính Số 195, Trương Văn Bang, Phường Thạnh Mỹ Lợi, Quận 2, TP Hồ Chí Minh, , Sản phẩm Yakult do Công ty sản xuất đã được bán rộng rãi tại tất cả các thành phố lớn tai Việt Nam Chỉ với một chai dung tích nhỏ 65ml nhưng lại chứa đến 6,5 tỷ khuẩn Lactobacillus casei Shirota, do vậy, nếu duy trì uống Yakult thương xuyên sẽ giup cai thiên đương ruôt, từ đó sẽ giúp cơ thể có khả năng đề kháng tốt hơn, , Hiện sản phẩm Yakult đã có mặt ở hầu hết các siêu thị và các cửa hàng bán lẻ khắp các tỉnh thành Việt Nam Ngoài ra, Yakult còn được phân phối trực tiếp đến tận nhà của khách hàng qua hệ thống giao hàng Yakult Lady, , Nha may chung tôi luôn duy tri qui trinh san xuât vơi tiêu chuân chât lương cao nhât, ap dung qui trinh san xuât giông như Nha may Yakult ơ Nhât Ban Yakult không chi cam kêt đat chât lương san phâm cao nhât ma con cam kêt vê viêc bao vệ môi trương đam bao sưc khoe va an toan nơi lam việc, , Cô nàng họa mi tóc nâu Mỹ Tâm vừa cùng Yakult về chung một nhà với vai trò đại sứ thương hiệu đấy",https://www.topcv.vn/cong-ty/cong-ty-tnhh-yakult-vn/19593.html,"195 Trương Văn Bang KP1, P Thạnh mỹ Lợi, Tp Thủ Đức HCM",500-1000,098 4322738,tnhhyakultvn@gmail.com
925,Công ty Cổ phần Phong thủy Mixi,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-co-phan-phong-thuy-mixi-598698734c2a2_rs.jpg,"TRANG SỨC PHONG THỦY MIXI là thương hiệu hàng đầu cung cấp, các sản phẩm trang sức phong thủy Vòng đeo tay đá, Dây chuyền mặt đá, Nhẫn đá quý, Vật phẩm phong thủy và các sản phẩm đá phong thuỷ khác, HỆ THỐNG CỬA HÀNG TRANG SỨC PHONG THỦY MIXI, Miền Bắc, 1 Số 9 Nguyễn Hoàng Mỹ Đình, Nam Từ Liêm, Hà Nội  Hotline 0961243888, Miền Nam, 1 138 Nơ Trang Long, P14, QBình Thạnh, TP HCM  Hotline 0961249888",https://www.topcv.vn/cong-ty/cong-ty-co-phan-phong-thuy-mixi/4924.html,"09 Nguyễn Hoàng, Mỹ Đình 2, Nam Từ Liêm, Hà Nội",25-99,098 2401698,phongthuymixi@gmail.com
926,Công ty TNHH RM Healthcare,https://cdn-new.topcv.vn/unsafe/80x/filters:format(webp)/https://static.topcv.vn/company_logos/cong-ty-tnhh-rm-healthcare-6007b65d6e5f8.jpg,Công ty TNHH RM Healthcare là doanh nghiệp chuyên kinh doanh và phân phối dược phẩm trong nước và nhập khẩu,https://www.topcv.vn/cong-ty/cong-ty-tnhh-rm-healthcare/52586.html,"Số 13/15 Đường số 1, Khu phố 4, Phường An Lạc A, Quận Bình Tân, Tp.HCM",25-99,098 7793685,tnhhrmhealthcare@gmail.com
